Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,MeridianLink Consumer Discount Module (Y/N),One Time Fee,NSItemID - OneTime,Annual Fee,NSItemID-Annual,Per Transaction Fee,NSItemID-Transaction,NSItemID-Overage,NSItemID-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer, Product Description ,Additional Accounting Items to Add," Logic
[e.g., 1 AND (2 OR 3)] "," Constraint #1
Dependent or Exclusion "," Constraint #1
Description (Please Explain) "," Constraint #2
Dependent or Exclusion "," Constraint #2
Description (Please Explain) "," Constraint #3
Dependent or Exclusion "," Constraint #3
Description (Please Explain) "," Constraint #4
Dependent or Exclusion "," Constraint #4
Description (Please Explain) ",Other Monthly Fee,Capability Line Level,Add On Type,Tier Name,Tier Level,Tier Minimum,Tier Maximum,Product Category
Origination - Consumer,DecisionLender4,Add On - Employment/Income/Asset Verification,Point Predictive,Point Predictive IE Validate,Standard,Point Predictive IE Validate,N,0.0,SHARED-0570,0.0,SHARED-0569,,,,,,,,,,,,,Integration will work across all product types. ,,,,,,,,Not Mapped,Employment/Income/Asset Verification,Point Predictive IE Validate,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - eSign,Kinective,IMM eSignature on Premise,Standard,Kinective eSignature on Premise ,N,8000.0,TCI-0163,1475.0,TCI-0032,,,,,,,fka IMM eSignature on Premise,,,,,,,,,,,,,,Docs/Disclosures & eSign,eSign,IMM eSignature on Premise,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - eSign,Kinective,Synergy Esign - DecisionLender,Standard,Synergy Esign,N,5500.0,TCI-0290,5500.0,TCI-0289,,,,,,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,eSign,Synergy Esign - DecisionLender,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Fraud Detection,LexisNexis,LexisNexis FraudPoint,Standard,LexisNexis FraudPoint,N,3300.0,TCI-0340,1575.0,TCI-0034,,,,,,,,,,,,,,,,,,,,,Fraud & Verification,Fraud Detection,LexisNexis FraudPoint,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Fraud Detection,LexisNexis,LexisNexis Verification of Occupancy,Standard,LexisNexis Verification of Occupancy,N,3300.0,TCI-0333,1575.0,TCI-0344,,,,,,,,,,,,,,,,,,,,,Fraud & Verification,Fraud Detection,LexisNexis Verification of Occupancy,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - ID Verification,TransUnion,IDV only,Standard,IDV only,N,2400.0,TCI-0235,,,,,,,,,,,,,,,,,,,,,,,Not Mapped,ID Verification,IDV only,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - ID Verification,LexisNexis,Lexis Nexis – Instant ID ,Usage,Lexis Nexis – Instant ID ,N,3300.0,TCI-0168,1875.0,TCI-0345,,,,,,,,,,,,,,,,,,,,,Fraud & Verification,ID Verification,Lexis Nexis – Instant ID ,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - ID Verification,LexisNexis,Lexis Nexis – Risk View ,Usage,Lexis Nexis – Risk View ,N,3300.0,TCI-0169,1875.0,TCI-0036,,,,,,,,,,,,,,,,,,,,,Fraud & Verification,ID Verification,Lexis Nexis – Risk View ,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - ID Verification,FIS,OFAC,Usage,OFAC,N,0.0,TCI-0234,,,0.4,TCI-0118,,,,,,,,,,,,,,,,,,,Fraud & Verification,ID Verification,OFAC,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Indirect Lead,Automatic USA,Automatic USA,Standard,Automatic USA,N,3200.0,TCI-0331,3100.0,TCI-0336,5.0,TCI-0334,,,,,,,,,,,,,,,,,,,Auto,Indirect Lead,Automatic USA,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Indirect Lead,DealerTrack,DealerTrack DDS ,Per Pull,DealerTrack DDS ,N,8000.0,TCI-0146,,,1.45,TCI-0074,,TCI-0349,,145.0,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Indirect Lead,DealerTrack DDS ,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Indirect Lead,OttoMoto,OttoMoto (DecisionLender),Standard,OttoMoto,N,3300.0,SHARED-0561,2400.0,SHARED-0559,,,,,,,DecisionLender will only support vehicle loans already configured in the client's DecisionLender site. Supporting additional collateral types will require an addendum for the desired vehicle loan types.,,,,,,,,,,,,,,Not Mapped,Indirect Lead,OttoMoto (DecisionLender),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Indirect Lead,MeridianLink,DecisionLender DLX – One Way,Standard,DecisionLender DLX – One Way,N,7000.0,TCI-0204,2050.0,TCI-0055,,,,,,,,,,,,,,,,,,,,,Essential Services,Indirect Lead,DecisionLender DLX – One Way,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Indirect Lead,MeridianLink,DecisionLender DLX – Two Way,Standard,DecisionLender DLX – Two Way,N,7000.0,TCI-0205,2050.0,TCI-0056,,,,,,,,,,,,,,,,,,,,,Essential Services,Indirect Lead,DecisionLender DLX – Two Way,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Indirect Lead,MeridianLink,DecisionLender Historical Data Dump,Standard,DecisionLender Historical Data Dump,N,17250.0,TCI-0347,,,,,,,,,,,,,,,,,,,,,,,Not Mapped,Indirect Lead,DecisionLender Historical Data Dump,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,Carleton,Carleton HOEPA/HPML Validation,Usage,Carleton HOEPA/HPML Validation,,0.0,TCI-0130,,,0.27,TCI-0261,,,,,Approval required from Product Lead.  ,,,,,,,,,,,,,,Not Mapped,Misc,Carleton HOEPA/HPML Validation,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,Carleton,Carleton Monthly Payment Calculation,Per State,Carleton Monthly Payment Calculation,N,250.0,TCI-0131,,,,,,,,,,,,,,,,,,,,,,,Auto,Misc,Carleton Monthly Payment Calculation,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,Carleton,Carleton Regulation Z Calculation,Usage,Carleton Regulation Z Calculation,N,0.0,TCI-0229,,,0.27,TCI-0069,,,,,"once per application, whether Regulation Z Calculation, Monthly Payment Calculation or both",,,,,,,,,,,,,,Auto,Misc,Carleton Regulation Z Calculation,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Champion Challenger,Per Loan Type,Champion Challenger,N,7000.0,TCI-0134,8250.0,TCI-0277,,,,,,,Separate setup fee and annual fee for each loan type.,,,,,,,,,,,,,,Custom Score/Decisioning,Misc,Champion Challenger,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Cross-Sell (Existing Customers),Standard,Cross-Sell,N,5500.0,TCI-0139,5750.0,TCI-0243,,,,,,,For existing clients only; included for new clients,,,,,,,,,,,,,,Consumer Module,Misc,Cross-Sell (Existing Customers),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Cross-Sell (New Logos),Standard,Cross-Sell,N,0.0,TCI-0139,5750.0,TCI-0243,,,,,,,For existing clients only; included for new clients,,,,,,,,,,,,,,Consumer Module,Misc,Cross-Sell (New Logos),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,CUAC Sub-Lender Standard Export,Standard,CUAC Sub-Lender Standard Export,N,9500.0,TCI-0207,4000.0,TCI-0058,,,,,,,,,,,,,,,,,,,,,Automation & Integration,Misc,CUAC Sub-Lender Standard Export,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,DecisionLender Standard Data Dump,Standard,DecisionLender Standard Data Dump,N,17250.0,TCI-0206,3800.0,TCI-0057,,,,,,,,,,,,,,,,,,,,,Data & Reporting,Misc,DecisionLender Standard Data Dump,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,DecisionLender Standard Export,Standard,DecisionLender Standard Export,N,17250.0,TCI-0207,3800.0,TCI-0058,,,,,,,,,,,,,,,,,,,,,Automation & Integration,Misc,DecisionLender Standard Export,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Single SignOn via SAML,Standard,Single SignOn via SAML,N,6750.0,TCI-0197,3800.0,TCI-0048,,,,,,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Misc,Single SignOn via SAML,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Standard Data Warehouse Export – Hosted by Subscriber,Standard,Standard Data Warehouse Export – Hosted by Subscriber,N,-1234.0,TCI-0201,-1234.0,TCI-0020,,,,,,,Approval required from Product Lead.  Included dedicated VPN Connection,,,,,,,,,,,,,,Automation & Integration,Misc,Standard Data Warehouse Export – Hosted by Subscriber,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Expedited Deployment (DecisionLender),Standard,DecisionLender4 - Expedited Deployment,N,-1234.0,TCI-0348,,,,,,,,,Reserved for projects with external restraints such as sunsetting systems or core conversions with fixed live dates. Quote pricing. Price is not actually -$1234.00. Requires SVP approval.,This fee ensures that your queue time will be reduced and assignment will happen at the mutually agreed upon timeframe with Services.,,,,,,,,,,,,,Not Mapped,Misc,Expedited Deployment (DecisionLender),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Misc,MeridianLink,Custom Training,Standard,DecisionLender4 - Custom Training,N,-1234.0,SHARED-0547,,,,,,,,,Reserved for projects with external restraints such as sunsetting systems or core conversions with fixed live dates. Quote pricing. Price is not actually -$1234.00. Requires SVP approval.,This offering will provide you with a custom training engagement for DecsionLender with our Implementation Team,,,1,,Scoping and Management Approval Required,,,,,,,,Not Mapped,Misc,Custom Training,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Professional Services,MeridianLink,Additional DecisionLender Sub-Lender,Standard,Additional DecisionLender Sub-Lender,N,2800.0,TCI-0324,1375.0,TCI-0326,,,,,,,"Sub-lender must utilize same rules preferences and credit groups as parent Lender. Fee does not include any export/core connectivity or third party integrations Specific to that sub-lender. Additional costs would need to be scoped out of Sub-lender specific rules and preferences, export score integrations or other 3rd party integrations will need to be quoted separately. Only for Indirect Module.",,,,1,TCI-0267,Indirect Module required,,,,,,,,Auto,Professional Services,Additional DecisionLender Sub-Lender,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Professional Services,MeridianLink,On Site Requirements Gathering,Standard,On Site Requirements Gathering,N,-1234.0,TCI-0119,,,,,,,,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Not Mapped,Professional Services,On Site Requirements Gathering,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Professional Services,MeridianLink,PS Hourly: 1-2 hours,Hourly,PS Hourly: 1-2 hours,N,775.0,TCI-0088,,,,,,,,,,,,,,,,,,,,,,,Recurring Consulting Services,Professional Services,PS Hourly: 1-2 hours,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Professional Services,MeridianLink,PS Hourly: 3-4 hours,Hourly,PS Hourly: 3-4 hours,N,1550.0,TCI-0088,,,,,,,,,,,,,,,,,,,,,,,Recurring Consulting Services,Professional Services,PS Hourly: 3-4 hours,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Professional Services,MeridianLink,PS Hourly: 5+ hours,Hourly,PS Hourly: 5+ hours,N,1925.0,TCI-0088,,,,,,,,,,,,,,,,,,,,,,,Recurring Consulting Services,Professional Services,PS Hourly: 5+ hours,,,,Add Ons
SHARED,DecisionLender4,Add On - MeridianLink Consulting,MeridianLink,Admin Pro (DecisionLender4),Monthly,DecisionLender4  - Admin Pro,N,0.0,SHARED-0145,26580.0,SHARED-0198,325.0,SHARED-0371,,,Y,,"Service already offered, we are separating Consumer and DecisionLender",,,,1,,Must have DL4,,,,,,,X,Recurring Consulting Services,MeridianLink Consulting,Admin Pro (DecisionLender4),,,,Add Ons
SHARED,DecisionLender4,Add On - MeridianLink Consulting,MeridianLink,Admin Pro Additional 25 Hours Setup Fee (DecisionLender4),Standard,DecisionLender4 - Admin Pro Lite additional 25 hours,N,6750.0,SHARED-0509,,,,,,,Y,,"Service already offered, we are separating Consumer and DecisionLender",,,,1,,Services Manager Approval only,,,,,,,,Recurring Consulting Services,MeridianLink Consulting,Admin Pro Additional 25 Hours Setup Fee (DecisionLender4),,,,Add Ons
SHARED,DecisionLender4,Add On - MeridianLink Consulting,MeridianLink,Admin Pro Additional 50 Hours Setup Fee (DecisionLender4),Standard,DecisionLender4 - Admin Pro additional 50 hours,N,13250.0,SHARED-0475,,,,,,,Y,,"Service already offered, we are separating Consumer and DecisionLender",,,,1,,Must have DL4,,,,,,,,Recurring Consulting Services,MeridianLink Consulting,Admin Pro Additional 50 Hours Setup Fee (DecisionLender4),,,,Add Ons
SHARED,DecisionLender4,Add On - MeridianLink Consulting,MeridianLink,Admin Pro Lite (DecisionLender4),Monthly,DecisionLender4 - Admin Pro Lite,N,0.0,SHARED-0504,13872.0,SHARED-0522,325.0,SHARED-0523,,,Y,,This is not offered to clients unless there is a possibility of them leaving Admin Pro,,,,1,,Services Manager Approval only,,,,,,,X,Recurring Consulting Services,MeridianLink Consulting,Admin Pro Lite (DecisionLender4),,,,Add Ons
SHARED,DecisionLender4,Add On - MeridianLink Consulting,MeridianLink,Admin Pro Plus (DecisionLender4),Monthly,DecisionLender4 - Admin Pro Plus,N,0.0,SHARED-0508,31800.0,SHARED-0524,325.0,SHARED-0521,,,Y,,"Service already offered, we are separating Consumer and DecisionLender",,,,1,,Must have DL4,,,,,,,X,Recurring Consulting Services,MeridianLink Consulting,Admin Pro Plus (DecisionLender4),,,,Add Ons
SHARED,DecisionLender4,Add On - Professional Services,MeridianLink,Professional Services Subscription : Monthly (DecisionLender4),Standard,Professional Services Subscription : Monthly,N,0.0,SHARED-0597,-1234.0,SHARED-0596,-1234.0,SHARED-0595,,,Y,,,,,,,,,,,,,,,,Recurring Consulting Services,Professional Services,Professional Services Subscription : Monthly (DecisionLender4),,,,Add Ons
SHARED,DecisionLender4,Add On - Merchant Lending,LoanStar Technologies ,LoanStar Technologies (DecisionLender4),Standard,LoanStar Technologies,N,3300.0,SHARED-0387,2400.0,SHARED-0390,,,,,,,"A client's site must be configured for the specific loan type offering to be generated for LoanStar, For Example a Home improvement loan would require a Home Improvement Loan type already configured and contacted for in DecisionLender.  If that loan type does not exist there would be a an additional SOW  for the creation of needed loan type. ",,,,1,,"The Specific Loan type required will need to be in place.  For Example for Home improvement loans,  A Home Improvement loan type will need to be in place. ",,,,,,,,Consumer & Digital Engagement,Merchant Lending,LoanStar Technologies (DecisionLender4),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Vehicle Valuation,JD Power,J.D. Power Guide Data - Recreational Vehicle Values,Per Pull,J.D. Power RV Guide,N,400.0,TCI-0177,950.0,TCI-0240,0.65,TCI-0115,,,,,,,,,,,,,,,,,,,Auto,Vehicle Valuation,J.D. Power Guide Data - Recreational Vehicle Values,,,,Add Ons
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Advanced Tier 1 (15,000+ apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,77750.0,TCI-0166,,,3.25,TCI-0267,TCI-0267,TCI-0287,N,48750.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Advanced ,Tier 1,15000.0,0.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Advanced Tier 2 (8,000-14,999 apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,77750.0,TCI-0166,,,3.4,TCI-0267,TCI-0267,TCI-0287,N,27200.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Advanced ,Tier 2,8000.0,14999.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Advanced Tier 3 (4,000-7,999 apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,77750.0,TCI-0166,,,3.85,TCI-0267,TCI-0267,TCI-0287,N,15400.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Advanced ,Tier 3,4000.0,7999.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Advanced Tier 4 (3,000-3,999 apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,77750.0,TCI-0166,,,4.15,TCI-0267,TCI-0267,TCI-0287,N,12450.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Advanced ,Tier 4,3000.0,3999.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Advanced Tier 5 (2,500-2,999 apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,77750.0,TCI-0166,,,4.45,TCI-0267,TCI-0267,TCI-0287,N,11125.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Advanced ,Tier 5,2500.0,2999.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Essentials Tier 01 (15,000+ apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,11750.0,TCI-0166,,,3.25,TCI-0267,TCI-0267,TCI-0287,N,48750.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Essentials ,Tier 1,15000.0,0.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,DecisionLender Indirect Lending - Essentials Tier 10 (175-249 apps),App Commitment / Mon,DecisionLender - Indirect Lending Module,N,11750.0,TCI-0166,,,7.65,TCI-0267,TCI-0267,TCI-0287,N,1338.75,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Essentials ,Tier 10,175.0,249.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,DecisionLender Indirect Lending - Essentials Tier 11 (100-174 apps),App Commitment / Mon,DecisionLender - Indirect Lending Module,N,11750.0,TCI-0166,,,8.25,TCI-0267,TCI-0267,TCI-0287,N,825.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Essentials ,Tier 11,100.0,174.0,Primary Product
Origination - Consumer,DecisionLender4,Primary Service,MeridianLink,"DecisionLender Indirect Lending - Essentials Tier 02 (8,000-14,999 apps)",App Commitment / Mon,DecisionLender - Indirect Lending Module,N,11750.0,TCI-0166,,,3.4,TCI-0267,TCI-0267,TCI-0287,N,27200.0,,,,,,,,,,,,,,,Primary Service,,DecisionLender Indirect Lending - Essentials ,Tier 2,8000.0,14999.0,Primary Product
