LEGACY Product Name,Date Removed
Reverse Migrations,2021-08-01
ScanShell 3100D with OCR software,2021-08-01
ScanShell 800 or 2000 with OCR software,2021-08-01
Engage Prospecting,2021-10-01
"Engage TEM: Direct Mail (Postcard, Self Mailer, and Letter)",2021-10-01
Engage TEM: Email,2021-10-01
Engage TEM: Reward Gift Card,2021-10-01
Engage TEM: Reward Cash Back,2021-10-01
Engage TEM: Custom Creative Design,2021-10-01
Engage TEM: Prescreen,2021-10-01
DecisionLender- Experian Precise ID,2021-12-01
Deluxe Detect (Vendor sunset),2021-12-01
Deluxe Match Fee (Vendor sunset),2021-12-01
Data Storage- Mortgage (active ML Mortgage Clients),2022-01-01
Process and Strategy Maintenance (ML Consulting),2022-01-01
Consumer Documents (Application Portal v1/v2),2022-01-01
FiServ Inegrasys,2022-03-01
Paradata Export,2022-03-01
DecisionLender4 CBD,2022-03-01
DecisionLender4 BizChex,2022-03-01
DecisionLender4 Experian Clarity Score,2022-03-01
DecisionLender4 Archive files - SFTP monthly Folder Delivery,2022-03-01
Engage - Data Integration & Management Tier 1 (>$1B AUM),2022-04-01
Engage - Data Integration & Management Tier 2 (<$1B AUM),2022-04-01
Engage - Data Integration & Management Tier 3 (<$250M AUM),2022-04-01
United One Resources - Settlement Services,2022-04-01
L3APPS Export,2022-06-01
Document Mapping (loans + deposits),2022-06-01
Decisioning as a Service (DaaS),2022-10-01
VPN Configuration,2023-01-01
Equifax eIDverifier ,2023-01-01
Equifax eIDCompare,2023-01-01
Equifax eIDCompare with eIDVerifier,2023-01-01
Document Mapping (deposits) - ML Entry,2023-04-01
Document Mapping (loans) - ML Entry,2023-04-01
Relationship360 All In,2023-04-01
Explore Marketing - Custom Creative Design,2023-04-01
Explore Marketing - Direct Mail - Letter,2023-04-01
Explore Marketing - Direct Mail - Postcard,2023-04-01
Explore Marketing - Direct Mail - Self Mailer,2023-04-01
Explore Marketing - Email,2023-04-01
Explore Marketing - Reward Gift Card,2023-04-01
AccountChek VOA - 30 Day (Monthly Minimum Option),2023-04-01
AccountChek VOA - 60 Day (Monthly Minimum Option),2023-04-01
AccountChek VOA - 90 Day (Monthly Minimum Option),2023-04-01
AccountChek VOA - One Time (Monthly Minimum Option),2023-04-01
Wayfinder (Consumer),2023-04-01
What-If Simulator (Consumer),2023-04-01
DealerTrack eContracting Authoritative Copy Conversion (ACC) (Consumer),2023-08-01
Premium Plus Support (Consumer),2023-08-01
MeridianLink Portal Mortgage,2023-09-01
"MeridianLink Portal Mortgage - AccountChek (30,60,90 day and one time monitoring)",2023-09-01
MeridianLink Portal Mortgage - Site Analytics,2023-09-01
MeridianLink Portal - Additional Portal (Mortgage),2023-09-01
MeridianLink Portal - Custom URL (Mortgage),2023-09-01
MeridianLink Portal - Equifax InstaTouch (Mortgage),2023-09-01
MeridianLink Portal - Home Banking SSO (Mortgage),2023-09-01
MeridianLink Mortgage Access Full Story Additional User,2023-10-01
"MeridianLink Mortgage Access Full Story Tier 1 (20,000 sessions/month)",2023-10-01
"MeridianLink Mortgage Access Full Story Tier 2 (10,000 sessions/month)",2023-10-01
MeridianLink Mortgage Access Full Story Tier 3 (4000 sessions/month),2023-10-01
MeridianLink Mortgage Access Full Story Tier 4 (1500 sessions/month),2023-10-01
Engage - Card Module Tier 1 (>$1B AUM),2023-10-01
Engage - Card Module Tier 2 ($500M-$1B AUM),2023-10-01
Engage - Card Module Tier 3 ($250M-$500M AUM),2023-10-01
Engage - Card Module Tier 4 (<$250M AUM),2023-10-01
Engage - Account Module Tier 1 (>$1B AUM),2023-10-01
Engage - Account Module Tier 2 ($500M-$1B AUM),2023-10-01
Engage - Account Module Tier 3 ($250M-$500M AUM),2023-10-01
Engage - Account Module Tier 4 (<$250M AUM),2023-10-01
Engage - Additional Data Integration & Management ,2023-10-01
Engage - Consumer Lending Module Tier 1 (>$1B AUM),2023-10-01
Engage - Consumer Lending Module Tier 2 ($500M-$1B AUM),2023-10-01
Engage - Consumer Lending Module Tier 3 ($250M-$500M AUM),2023-10-01
Engage - Consumer Lending Module Tier 4 (<$250M AUM),2023-10-01
Engage - Advanced Modeling,2023-12-01
Core interface (DecisionLender),2024-01-01
DataSafe (DecisionLender),2024-01-01
HYLS (DecisionLender),2024-01-01
AI Extract (DecisionLender),2024-01-01
Propay (DecisionLender),2024-01-01
Decisioning Optimization,2024-01-01
Verafin - ML Entry Clients,2024-02-01
Visa Advanced ID Solutions (VAIS),2024-03-01
DocuSign Enterprise (Mortgage),2024-08-01
DocuSign ISV Tier 1 (500+ envelopes) (Mortgage),2024-08-01
DocuSign ISV Tier 2 (400-499 envelopes included) (Mortgage),2024-08-01
DocuSign ISV Tier 3 (300-399 envelopes included) (Mortgage),2024-08-01
DocuSign ISV Tier 4 (200-299 envelopes included) (Mortgage),2024-08-01
DocuSign ISV Tier 5 (100-199 envelopes included) (Mortgage),2024-08-01
DocuSign ISV Tier 6 (50-99 envelopes included) (Mortgage),2024-08-01
DocuSign ISV Tier 7 (up to 49 envelopes included) (Mortgage),2024-08-01
Enhanced Implementation Banks,2024-08-01
Enhanced Implementation CU,2024-08-01
Enhanced Implementation Opening,2024-08-01
Enhanced Implementation Small Business,2024-08-01
CCM Credit Card,2024-09-01
CCM Interface with OSI,2024-09-01
CPS,2024-09-01
Image Transfer,2024-10-01
Fintel Connect,2024-10-01
Engage- Tech Enabled Marketing - Gift Cards Letter - P-1,2025-01-01
Engage Tech Enabled Marketing - Home Banking -NCR,2025-01-01
Engage- Tech Enabled Marketing- Email- D1,2025-01-01
Engage- Tech Enabled Marketing- Email- G1,2025-01-01
Engage Lite Tier 1 (>$1B AUM),2025-01-01
Engage Lite Tier 2 ($500M-$1B AUM),2025-01-01
Engage Lite Tier 3 ($250M-$500M AUM),2025-01-01
Engage Lite Tier 4 (<$250M AUM),2025-01-01
Explore - MC MPA Data Services,2025-01-01
Explore Marketing - Direct Mail - Postcard,2025-01-01
Explore Marketing - Direct Mail - Self Mailer,2025-01-01
Explore Marketing - Email,2025-01-01
Explore Marketing - Reward Gift Card,2025-01-01
Explore Tech Enabled Marketing - Email- D-1,2025-01-01
Explore Tech Enabled Marketing - Email- G-1,2025-01-01
Explore Tech Enabled Marketing - Gift Cards Letter - P-1,2025-01-01
Explore - MC MPA Total Txn Tier 1: >25M,2025-01-01
Explore - MC MPA Total Txn Tier 2: 10M-25M,2025-01-01
Explore - MC MPA Total Txn Tier 3: 5M-10M,2025-01-01
Explore - MC MPA Total Txn Tier 4: 2.5M-5M,2025-01-01
Explore - MC MPA Total Txn Tier 5: 1M-2.5M,2025-01-01
Explore - MC MPA Total Txn Tier 6: Up to 1M,2025-01-01
Explore - MC MPA New ETL,2025-01-01
Explore - MC MPA Active Cards Tier 1: >100M,2025-01-01
Explore - MC MPA Active Cards Tier 2: 50-100M,2025-01-01
Explore - MC MPA Active Cards Tier 3: 35-50M,2025-01-01
Explore - MC MPA Active Cards Tier 4: 25-35M,2025-01-01
Explore - MC MPA Active Cards Tier 5: 15-25M,2025-01-01
Explore - MC MPA Active Cards Tier 6: 7.5-15M,2025-01-01
Explore - MC MPA Active Cards Tier 7: 5-7.5M,2025-01-01
Explore - MC MPA Active Cards Tier 8: 2-5M,2025-01-01
Explore - MC MPA Active Cards Tier 9: Up to 2M,2025-01-01
Inbound Faxing - Additional Storage,2025-01-01
Application Storage (monthly payment),2025-01-01
Loan Program Build/Maintenance,2025-02-03
Mercury Insurance,2025-02-03
SourcePoint - Settlement Services,2025-02-03
Document Mapping (loans) - DecisionLender,2025-04-01
Document Mapping (overage) - DecisionLender4 Consumer,2025-04-01
Document Mapping (overage) - DecisionLender4 Custom,2025-04-01
ML Access Foundation Tier 1,2025-05-01
ML Access Foundation Tier 2,2025-05-01
ML Access Foundation Tier 3,2025-05-01
ML Access Foundation Tier 4,2025-05-01
ML Access Foundation Tier 5,2025-05-01
ML Access Foundation Tier 6,2025-05-01
ML Access Foundation Tier 7,2025-05-01
ML Access Foundation Tier 8,2025-05-01
MeridianLink Access Premium Tier 1 (Unlimited Monthly Applications),2025-05-01
MeridianLink Access Premium Tier 2 (8000 Monthly Applications),2025-05-01
MeridianLink Access Premium Tier 3 (4000 Monthly Applications),2025-05-01
DecisionLender Training,2025-05-01
Removed 0 dollar annual and transaction for SavvyMoney,2025-07-01
Removed Legacy Portal Shared Codes,2025-07-01
Removed transaction item from FIS Qualifile IDV,2025-07-01
Removed DealerTrack (DecisionLender),2025-07-01
Removed Legacy Experian Codes,2025-07-01
Removed Legacy RouteOne Electronic Contracting Commitment,2025-07-01
Removed Legacy eContracting Rule Validation Package Setup and Annual Fee,2025-08-01
Removed Digital Engagement Package - HappyorNot Customer Surveys,2025-08-01
Removed Legacy SKU Codes for 25 Professional Services Hours for TazCloud,2025-08-01
Removed Consumer JHA Pricing Tiers for Consumer and Portal,2025-08-01
Removed legacy pricing model for ML Collect,2025-08-01
Credit Card Processing (First Data),2025-08-01
OpenClose Core Image Booking,2025-08-01
Meridianlink Mortgage Insight Tier 1-15,2025-08-01
White Glove Optical Document Recognition Service,2025-08-01
"PriceMy Loan Service Packages (Plus, Premium, Standard (OpenClose)",2025-08-01
MeridianLink Mortgage OpenClose,2025-08-01
"Document Mapping Rows Quoting Cleanup (3 legacy rows retired, for 6 new rows)",2025-10-01
Additonal Accounting item cleanup CONS-0390,2025-10-01
Move Legacy billing product codes for LoanStar (CONS-0208 AND CONS-0046),2025-10-01
Modern Experience Module (New Logo) removed from EPC,2025-10-01
PS Hourly Removed Annual items,2025-11-01
SHARED Codes for Loan Annual Maintenance,2025-11-01
"Remove Mortgage Training (MLM Roles Training Package, MLM Time and Materials Training Package,MLM Training Package)",2025-11-01
"ML Business (Business Credit Card, ML Business Tiers)",2025-11-01
Finastra LaserPro and for ML Business,2025-11-01
Finastra LaserPro Plus and for ML Business,2025-11-01
LoanStar Billing Code SHARED Code Update,2025-11-01
OttoMotto Transaction and Monthly Commitment,2025-12-01
ML Entry Consumer and Opening,2025-12-01
ML Entry Core Integration,2025-12-01
ML Entry Portal,2025-12-01
Trade House Data Setup Fee (TazCloud User) : consildated pricing,2026-01-02
"MCL Items: CreditXpert Wayfinder, CreditXpert What-If Simulator, and Experian Business Credit Reports",2026-01-02
"MeridianLink Portal Tier 1 (96,000+ apps)",2026-02-05
"MeridianLink Portal Tier 2 (48,000-95,999 apps)",2026-02-05
"MeridianLink Portal Tier 3 (24,000-47,999 apps)",2026-02-05
"MeridianLink Portal Tier 4 (12,000-23,999 apps)",2026-02-05
"MeridianLink Portal Tier 5 (6000-11,999 apps)",2026-02-05
MeridianLink Portal Tier 6 (3000-5999 apps),2026-02-05
MeridianLink Portal Tier 7 (<3000 apps),2026-02-05
Portal Merchant Lending,2026-02-05
MeridianLink POS - Additional Portal (Consumer),2026-02-05
ACH Processing (Magic Wrighter),2026-03-05
CONS Billing Codes Replaced: FINOFR Pre-Approval API (Consumer),2026-03-05
Software Configuration,2026-04-01
Explore - FIS Debit Insights,2026-04-01
Explore - FIS Monthly Volume Triggers,2026-04-01
Explore - FIS Debit Insights New ETL,2026-04-01
Explore - FIS Debit Insights Data Services,2026-04-01
CreditXpert Global Minimum,2026-04-01
Finicity VOA,2026-04-01
FourStars DL Integration Code Update,2026-06-01
PriceMyLoan Service Package - Basic (OpenClose),2026-06-01
Symitar SymXChange Core Conversion (Consumer),2026-07-01
Jack Henry Symitar (Mortgage),2026-07-01
Symitar SymXChange (Consumer),2026-07-01
